================================================================================
New Upload Session - File: test_data_20(1).csv at 2025-05-12 18:10:01
[2025-05-12 18:10:01] test_data_20(1).csv Row 2: Invalid row: Missing or invalid required fields Data: {'name': 'Michael Thompson', 'email': 'michael.thompson@techsolutions.com', 'phone': None}
[2025-05-12 18:10:01] test_data_20(1).csv Row 3: Database error: type object 'Lead' has no attribute 'truncate_fields' Data: {'name': 'Sarah Johnson', 'email': 'sjohnson@datastream.io', 'phone': '6175552345'}
[2025-05-12 18:10:01] test_data_20(1).csv Row 4: Database error: type object 'Lead' has no attribute 'truncate_fields' Data: {'name': 'David', 'email': 'david@cloudsecure.net', 'phone': '5125556789'}
[2025-05-12 18:10:01] test_data_20(1).csv Row 5: Invalid row: Missing or invalid required fields Data: {'name': 'Jennifer Davis', 'email': None, 'phone': '5035554321'}
[2025-05-12 18:10:01] test_data_20(1).csv Row 6: Database error: type object 'Lead' has no attribute 'truncate_fields' Data: {'name': 'Robert', 'email': 'rgarcia@meditech-innovations.com', 'phone': '3125559876'}
[2025-05-12 18:10:01] test_data_20(1).csv Row 7: Database error: type object 'Lead' has no attribute 'truncate_fields' Data: {'name': 'Karen', 'email': 'karen@smartfactory.tech', 'phone': '3135552468'}
[2025-05-12 18:10:01] test_data_20(1).csv Row 8: Database error: type object 'Lead' has no attribute 'truncate_fields' Data: {'name': 'Thomas Williams', 'email': 's@finsecure.com', 'phone': '2125557531'}
[2025-05-12 18:10:01] test_data_20(1).csv Row 9: Database error: type object 'Lead' has no attribute 'truncate_fields' Data: {'name': 'Amanda Lopez', 'email': 'amanda@edtechaccelerate.com', 'phone': '2065559753'}
[2025-05-12 18:10:01] test_data_20(1).csv Row 10: Database error: type object 'Lead' has no attribute 'truncate_fields' Data: {'name': 'James Taylor', 'email': 'jtaylor@logisticspro.net', 'phone': '4045553690'}
[2025-05-12 18:10:01] test_data_20(1).csv Row 11: Database error: type object 'Lead' has no attribute 'truncate_fields' Data: {'name': 'Emily Martinez', 'email': 'emartinez@agrotech.io', 'phone': '3035558024'}
[2025-05-12 18:10:01] test_data_20(1).csv Row 12: Invalid row: Missing or invalid required fields Data: {'name': 'Daniel 43', 'email': 'daniel@hrtec', 'phone': '6125554680'}
[2025-05-12 18:10:01] test_data_20(1).csv Row 13: Invalid row: Missing or invalid required fields Data: {'name': 'Sophia Rodriguez', 'email': 'srodriguez@retailtech.com', 'phone': None}
[2025-05-12 18:10:01] test_data_20(1).csv Row 14: Database error: type object 'Lead' has no attribute 'truncate_fields' Data: {'name': 'Andrew Kim', 'email': 'andrew@quantumcomputinglabs.ai', 'phone': '5105559024'}
[2025-05-12 18:10:01] test_data_20(1).csv Row 15: Database error: type object 'Lead' has no attribute 'truncate_fields' Data: {'name': 'Lisa Singh', 'email': 'lisa@cleanenergysystems.com', 'phone': '6025557531'}
[2025-05-12 18:10:01] test_data_20(1).csv Row 16: Database error: type object 'Lead' has no attribute 'truncate_fields' Data: {'name': 'Jonathan Patel', 'email': 'jonathan@urbanmobility.tech', 'phone': '2135554829'}
[2025-05-12 18:10:02] test_data_20(1).csv Row 17: Database error: type object 'Lead' has no attribute 'truncate_fields' Data: {'name': 'Rachel Lewis', 'email': 'rachel@biotechinnovations.com', 'phone': '6175558642'}
